,,Share with student loan debt,,,,Median student loan debt,,,,Share student loan holders with student loan debt in collections,,,,Median student loan debt in collections,,,,Median monthly student loan payment,,,,Share people with a credit record who have student loan debt in collections,,,,Nonwhite population share,,Share without a bachelor's degree,,,,Average household income,,
Pinal County,Arizona,15%,15%,8%,,"$16,098","$15,884",n/a*,,21%,20%,12%,,"$6,021","$5,729",n/a*,,$154,$142,n/a*,,3%,3%,1%,,42%,,83%,78%,90%,,"$61,240","$64,079","$54,168"
Santa Cruz County,Arizona,9%,8%,10%,,"$9,287",n/a*,"$9,287",,23%,13%,24%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,1%,2%,,84%,,78%,57%,84%,,"$52,983","$67,736","$48,269"
Yavapai County,Arizona,10%,10%,n/a*,,"$16,165","$16,185",n/a*,,18%,18%,n/a*,,"$9,195","$9,217",n/a*,,$142,$146,n/a*,,2%,2%,n/a*,,19%,,74%,72%,84%,,"$61,037","$61,222","$59,916"
Yuma County,Arizona,10%,11%,9%,,"$13,205",n/a*,"$12,341",,17%,7%,21%,,"$6,504",n/a*,n/a*,,$153,n/a*,$145,,2%,1%,2%,,67%,,85%,79%,88%,,"$52,633","$58,689","$47,892"
Arkansas County,Arkansas,10%,10%,n/a**,,n/a*,n/a*,n/a**,,28%,28%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,30%,,88%,85%,96%,,"$52,891","$59,119","$35,481"
Ashley County,Arkansas,15%,15%,n/a*,,"$15,132","$15,000",n/a*,,20%,20%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,3%,n/a*,,32%,,87%,85%,92%,,"$49,387","$56,489","$33,278"
Baxter County,Arkansas,10%,10%,n/a**,,"$13,355","$13,355",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,2%,n/a**,,5%,,82%,82%,83%,,"$49,367","$49,363","$49,503"
Benton County,Arkansas,14%,14%,n/a**,,"$15,055","$15,117",n/a**,,10%,10%,n/a**,,"$8,007","$7,205",n/a**,,$178,$182,n/a**,,2%,1%,n/a**,,26%,,67%,65%,75%,,"$81,004","$84,821","$64,339"
Boone County,Arkansas,12%,12%,n/a**,,"$12,457","$12,654",n/a**,,16%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,85%,85%,89%,,"$52,545","$52,910","$44,492"
Bradley County,Arkansas,14%,n/a*,n/a**,,n/a*,n/a*,n/a**,,24%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,n/a*,n/a**,,43%,,87%,82%,96%,,"$48,207","$60,417","$29,210"
Calhoun County,Arkansas,10%,12%,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,27%,,90%,88%,93%,,"$48,201","$53,492","$31,317"
Carroll County,Arkansas,9%,9%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,18%,,83%,83%,87%,,"$48,204","$49,020","$41,488"
Chicot County,Arkansas,20%,n/a**,21%,,n/a*,n/a**,n/a*,,26%,n/a**,21%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,5%,n/a**,4%,,60%,,89%,83%,94%,,"$46,711","$67,210","$31,725"
Clark County,Arkansas,17%,18%,n/a*,,"$19,484",n/a*,n/a*,,16%,14%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,3%,n/a*,,30%,,76%,74%,82%,,"$49,312","$55,948","$33,959"
Clay County,Arkansas,10%,10%,n/a**,,n/a*,n/a*,n/a**,,16%,16%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,89%,89%,85%,,"$43,625","$43,640","$43,102"
Cleburne County,Arkansas,8%,8%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,83%,83%,84%,,"$58,972","$59,753","$41,122"
Cleveland County,Arkansas,15%,15%,n/a*,,n/a*,n/a*,n/a*,,6%,6%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,15%,,85%,84%,87%,,"$55,059","$58,285","$33,724"
Columbia County,Arkansas,16%,16%,n/a*,,"$15,057",n/a*,n/a*,,23%,26%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,4%,4%,n/a*,,41%,,80%,76%,88%,,"$50,019","$62,287","$31,793"
Conway County,Arkansas,11%,11%,n/a*,,n/a*,n/a*,n/a*,,30%,31%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,3%,n/a*,,18%,,84%,83%,84%,,"$53,564","$54,747","$47,685"
Craighead County,Arkansas,19%,19%,n/a**,,"$17,000","$17,000",n/a**,,18%,18%,n/a**,,"$6,354","$6,354",n/a**,,$152,$152,n/a**,,3%,3%,n/a**,,22%,,75%,73%,86%,,"$57,172","$63,470","$31,293"
Crawford County,Arkansas,11%,11%,n/a**,,"$10,394","$10,394",n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,$131,$131,n/a**,,1%,1%,n/a**,,14%,,85%,86%,85%,,"$53,944","$54,764","$47,406"
Crittenden County,Arkansas,15%,19%,13%,,"$14,086","$21,250","$13,690",,23%,17%,25%,,n/a*,n/a*,n/a*,,$135,n/a*,n/a*,,3%,3%,3%,,56%,,84%,78%,89%,,"$51,571","$69,680","$35,242"
Cross County,Arkansas,15%,15%,n/a*,,n/a*,n/a*,n/a*,,27%,25%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,4%,4%,n/a*,,26%,,86%,85%,90%,,"$48,635","$52,993","$34,545"
Dallas County,Arkansas,6%,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,n/a*,n/a*,,46%,,87%,85%,89%,,"$44,244","$51,330","$36,653"
Desha County,Arkansas,15%,n/a*,16%,,n/a*,n/a*,n/a*,,23%,n/a*,24%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,4%,,54%,,88%,85%,91%,,"$41,200","$56,899","$27,095"
Drew County,Arkansas,17%,17%,n/a*,,"$13,812",n/a*,n/a*,,16%,16%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,3%,n/a*,,33%,,80%,76%,88%,,"$43,927","$51,060","$27,238"
Faulkner County,Arkansas,21%,21%,n/a**,,"$14,607","$14,607",n/a**,,16%,16%,n/a**,,"$8,150","$8,150",n/a**,,$134,$135,n/a**,,3%,4%,n/a**,,19%,,68%,69%,67%,,"$67,295","$70,690","$49,494"
Franklin County,Arkansas,8%,8%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,7%,,88%,87%,91%,,"$49,443","$50,298","$33,683"
Fulton County,Arkansas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,26%,26%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,4%,,89%,89%,97%,,"$45,069","$44,270","$61,854"
Garland County,Arkansas,13%,13%,n/a**,,"$16,194","$15,764",n/a**,,18%,17%,n/a**,,n/a*,n/a*,n/a**,,$157,$158,n/a**,,2%,2%,n/a**,,17%,,81%,80%,85%,,"$58,879","$58,322","$61,886"
Grant County,Arkansas,15%,15%,n/a*,,n/a*,n/a*,n/a*,,18%,18%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,3%,n/a*,,7%,,83%,83%,79%,,"$60,657","$61,333","$49,766"
Greene County,Arkansas,16%,16%,n/a**,,"$14,833","$14,833",n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,$144,$144,n/a**,,2%,2%,n/a**,,5%,,85%,84%,95%,,"$52,017","$52,370","$43,491"
Hempstead County,Arkansas,9%,6%,n/a**,,n/a*,n/a*,n/a**,,29%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,0%,n/a**,,44%,,88%,85%,92%,,"$44,026","$49,726","$34,319"
Hot Spring County,Arkansas,11%,11%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,17%,,87%,86%,91%,,"$50,448","$53,347","$36,851"
Howard County,Arkansas,8%,7%,n/a**,,n/a*,n/a*,n/a**,,16%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,34%,,85%,82%,92%,,"$53,760","$61,628","$35,442"
Independence County,Arkansas,13%,13%,n/a**,,"$13,298","$13,298",n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,11%,,84%,83%,93%,,"$50,920","$51,901","$39,132"
Izard County,Arkansas,13%,13%,n/a**,,n/a*,n/a*,n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,87%,87%,91%,,"$44,578","$44,617","$41,197"
Jackson County,Arkansas,14%,14%,n/a**,,n/a*,n/a*,n/a**,,24%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,22%,,91%,90%,96%,,"$46,279","$49,196","$31,618"
Jefferson County,Arkansas,18%,14%,19%,,"$12,286",n/a*,"$11,795",,19%,8%,21%,,n/a*,n/a*,n/a*,,$139,n/a*,$157,,3%,1%,4%,,59%,,85%,86%,85%,,"$48,260","$61,432","$38,283"
Johnson County,Arkansas,13%,13%,n/a**,,n/a*,n/a*,n/a**,,31%,31%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,19%,,83%,82%,91%,,"$49,054","$47,868","$56,752"
Lafayette County,Arkansas,14%,n/a*,n/a**,,n/a*,n/a*,n/a**,,24%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,n/a*,n/a**,,40%,,88%,84%,95%,,"$48,719","$63,299","$26,425"
Lawrence County,Arkansas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,23%,23%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,4%,,87%,87%,83%,,"$42,338","$42,596","$32,763"
Lee County,Arkansas,16%,n/a*,17%,,n/a*,n/a*,n/a*,,29%,n/a*,26%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,4%,n/a*,4%,,59%,,92%,89%,94%,,"$38,639","$55,595","$26,236"
Lincoln County,Arkansas,11%,8%,n/a*,,n/a*,n/a*,n/a*,,33%,33%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,4%,3%,n/a*,,35%,,91%,89%,95%,,"$50,527","$56,825","$31,977"
Little River County,Arkansas,9%,9%,n/a*,,n/a*,n/a*,n/a*,,18%,18%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,2%,n/a*,,27%,,90%,90%,90%,,"$47,093","$49,095","$40,883"
Logan County,Arkansas,11%,11%,n/a**,,n/a*,n/a*,n/a**,,27%,27%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,8%,,87%,87%,91%,,"$49,390","$49,527","$47,859"
Lonoke County,Arkansas,16%,16%,n/a*,,"$15,795","$15,795",n/a*,,12%,12%,n/a*,,n/a*,n/a*,n/a*,,$182,$182,n/a*,,2%,2%,n/a*,,13%,,78%,76%,95%,,"$65,135","$67,005","$51,511"
Madison County,Arkansas,10%,10%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,9%,,89%,89%,95%,,"$51,035","$51,798","$39,426"
Marion County,Arkansas,7%,7%,n/a**,,n/a*,n/a*,n/a**,,23%,23%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,87%,87%,91%,,"$41,541","$41,818","$34,018"
Miller County,Arkansas,10%,11%,n/a*,,"$9,454","$9,454",n/a*,,12%,12%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,30%,,86%,83%,92%,,"$51,692","$57,782","$37,396"
Mississippi County,Arkansas,11%,11%,n/a*,,"$12,249",n/a*,n/a*,,27%,5%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,1%,n/a*,,40%,,87%,85%,90%,,"$48,548","$56,584","$35,090"
Monroe County,Arkansas,10%,n/a*,n/a*,,n/a*,n/a*,n/a*,,14%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,n/a*,,45%,,91%,88%,95%,,"$39,360","$48,072","$28,052"
Montgomery County,Arkansas,8%,8%,n/a**,,n/a*,n/a*,n/a**,,56%,56%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,8%,,88%,88%,74%,,"$45,810","$46,214","$38,462"
Nevada County,Arkansas,6%,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,n/a*,n/a**,,36%,,86%,85%,88%,,"$42,132","$49,083","$29,152"
Newton County,Arkansas,12%,13%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,3%,n/a**,,6%,,85%,86%,74%,,"$43,432","$43,570","$41,148"
Ouachita County,Arkansas,12%,5%,n/a**,,n/a*,n/a*,n/a**,,20%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,1%,n/a**,,44%,,84%,80%,90%,,"$44,812","$55,296","$30,470"
Perry County,Arkansas,8%,8%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,7%,,88%,88%,93%,,"$56,268","$56,986","$43,946"
Phillips County,Arkansas,14%,n/a*,15%,,n/a*,n/a*,n/a*,,24%,n/a*,24%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,4%,,65%,,89%,84%,93%,,"$42,248","$61,033","$30,688"
Pike County,Arkansas,14%,14%,n/a**,,n/a*,n/a*,n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,12%,,85%,85%,91%,,"$47,231","$48,345","$36,180"
Poinsett County,Arkansas,13%,13%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,12%,,92%,91%,98%,,"$42,598","$43,990","$30,387"
Polk County,Arkansas,8%,8%,n/a**,,n/a*,n/a*,n/a**,,32%,29%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,11%,,88%,88%,91%,,"$46,708","$47,602","$36,613"
Pope County,Arkansas,16%,16%,n/a**,,"$15,880","$17,289",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,$190,$207,n/a**,,2%,2%,n/a**,,15%,,79%,78%,90%,,"$52,748","$53,856","$44,252"
Prairie County,Arkansas,8%,7%,n/a**,,n/a*,n/a*,n/a**,,11%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,15%,,90%,89%,92%,,"$43,050","$45,514","$28,344"
Pulaski County,Arkansas,22%,20%,24%,,"$19,478","$19,239","$19,424",,17%,15%,23%,,"$11,367","$13,339","$11,927",,$172,$175,$159,,4%,3%,6%,,47%,,66%,58%,78%,,"$69,335","$85,081","$47,091"
Randolph County,Arkansas,13%,13%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,87%,87%,81%,,"$44,878","$45,029","$40,193"
St. Francis County,Arkansas,10%,5%,12%,,n/a*,n/a*,n/a*,,36%,40%,36%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,2%,4%,,59%,,89%,86%,91%,,"$41,777","$51,879","$33,588"
Saline County,Arkansas,18%,18%,n/a**,,"$14,863","$15,051",n/a**,,17%,17%,n/a**,,"$9,826","$10,445",n/a**,,$153,$151,n/a**,,3%,3%,n/a**,,13%,,75%,75%,74%,,"$66,472","$67,666","$56,752"
Scott County,Arkansas,9%,9%,n/a**,,n/a*,n/a*,n/a**,,36%,36%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,16%,,88%,89%,82%,,"$45,296","$45,105","$46,670"
Searcy County,Arkansas,15%,15%,n/a**,,n/a*,n/a*,n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,86%,87%,78%,,"$43,678","$43,980","$35,410"
Sebastian County,Arkansas,13%,14%,12%,,"$12,632","$13,064",n/a*,,13%,13%,15%,,n/a*,n/a*,n/a*,,$136,$135,n/a*,,2%,2%,2%,,29%,,81%,79%,89%,,"$56,882","$58,984","$49,089"
Sevier County,Arkansas,6%,6%,n/a**,,n/a*,n/a*,n/a**,,15%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,41%,,92%,90%,97%,,"$46,398","$48,735","$40,551"
Sharp County,Arkansas,13%,13%,n/a**,,n/a*,n/a*,n/a**,,19%,19%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,3%,n/a**,,6%,,90%,90%,86%,,"$39,494","$39,392","$42,258"
Stone County,Arkansas,8%,8%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,5%,,84%,84%,94%,,"$43,768","$43,189","$74,533"
Union County,Arkansas,13%,13%,n/a*,,"$12,929","$13,200",n/a*,,24%,24%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,3%,n/a*,,39%,,82%,78%,90%,,"$53,430","$61,841","$37,800"
Van Buren County,Arkansas,7%,7%,n/a**,,n/a*,n/a*,n/a**,,27%,27%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,88%,87%,93%,,"$43,984","$44,166","$38,297"
Washington County,Arkansas,16%,18%,n/a**,,"$18,063","$18,366",n/a**,,12%,11%,n/a**,,"$11,293","$12,509",n/a**,,$165,$172,n/a**,,2%,2%,n/a**,,28%,,68%,64%,81%,,"$64,469","$69,160","$47,238"
White County,Arkansas,15%,16%,n/a**,,"$13,342","$13,248",n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,$143,$143,n/a**,,3%,3%,n/a**,,11%,,82%,81%,89%,,"$54,556","$55,089","$49,098"
Woodruff County,Arkansas,7%,5%,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,30%,,90%,89%,91%,,"$41,140","$45,199","$30,559"
Yell County,Arkansas,11%,11%,n/a**,,n/a*,n/a*,n/a**,,23%,23%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,24%,,87%,87%,89%,,"$48,593","$50,269","$41,342"
Alameda County,California,12%,11%,12%,,"$18,626","$26,971","$16,540",,12%,6%,15%,,"$11,228",n/a*,"$9,825",,$195,$261,$175,,1%,1%,2%,,68%,,55%,42%,62%,,"$109,109","$128,249","$95,887"
Alpine County,California,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,36%,,73%,66%,88%,,"$62,959","$69,697","$37,957"
Amador County,California,7%,7%,n/a*,,n/a*,n/a*,n/a*,,23%,23%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,2%,n/a*,,20%,,79%,77%,87%,,"$70,997","$72,168","$61,245"
Butte County,California,12%,12%,n/a**,,"$14,047","$14,101",n/a**,,16%,16%,n/a**,,"$5,951","$6,360",n/a**,,$141,$136,n/a**,,2%,2%,n/a**,,27%,,72%,71%,79%,,"$61,627","$64,018","$51,812"
Calaveras County,California,7%,7%,n/a*,,"$15,823","$16,172",n/a*,,14%,13%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,17%,,79%,78%,88%,,"$72,202","$73,982","$57,867"
Colusa County,California,8%,n/a*,7%,,n/a*,n/a*,n/a*,,7%,n/a*,7%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,1%,,63%,,85%,75%,94%,,"$65,310","$77,750","$52,949"
Contra Costa County,California,11%,11%,12%,,"$16,903","$20,315","$15,822",,11%,5%,16%,,"$10,040",n/a*,"$10,361",,$186,$215,$162,,1%,1%,2%,,55%,,60%,51%,69%,,"$115,085","$132,348","$95,077"
Del Norte County,California,7%,7%,n/a**,,n/a*,n/a*,n/a**,,10%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,37%,,85%,81%,93%,,"$54,641","$56,017","$49,464"
El Dorado County,California,11%,11%,n/a**,,"$14,344","$15,035",n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,$163,$163,n/a**,,1%,1%,n/a**,,22%,,67%,67%,67%,,"$100,334","$99,234","$106,236"
Fresno County,California,13%,12%,12%,,"$13,318","$19,298","$12,449",,18%,13%,20%,,"$8,807",n/a*,"$8,807",,$140,$206,$128,,2%,2%,2%,,70%,,81%,70%,87%,,"$64,716","$81,629","$53,095"
Glenn County,California,6%,5%,n/a*,,n/a*,n/a*,n/a*,,11%,25%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,46%,,85%,82%,91%,,"$59,845","$66,648","$47,006"
Humboldt County,California,14%,14%,n/a*,,"$14,000","$14,399",n/a*,,12%,11%,n/a*,,n/a*,n/a*,n/a*,,$150,$150,n/a*,,2%,2%,n/a*,,25%,,73%,70%,86%,,"$58,123","$60,674","$47,151"
Imperial County,California,9%,n/a*,9%,,"$14,643",n/a*,"$14,655",,14%,n/a*,14%,,n/a*,n/a*,n/a*,,$158,n/a*,$160,,1%,n/a*,1%,,88%,,86%,81%,87%,,"$55,930","$66,380","$53,740"
Inyo County,California,9%,9%,n/a**,,n/a*,n/a*,n/a**,,21%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,1%,n/a**,,35%,,76%,72%,88%,,"$61,925","$64,025","$55,950"
Kern County,California,11%,11%,11%,,"$13,852","$18,807","$11,996",,17%,12%,18%,,"$8,078","$10,637","$6,543",,$139,$171,$121,,2%,1%,2%,,65%,,84%,77%,89%,,"$69,017","$82,432","$57,433"
Kings County,California,11%,n/a**,9%,,"$12,129",n/a**,n/a*,,20%,n/a**,30%,,n/a*,n/a**,n/a*,,$129,n/a**,n/a*,,2%,n/a**,3%,,67%,,84%,79%,87%,,"$67,033","$72,287","$63,116"
Lake County,California,8%,8%,n/a**,,"$18,274","$18,274",n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,$145,$145,n/a**,,1%,1%,n/a**,,29%,,87%,87%,90%,,"$50,441","$53,798","$38,520"
Lassen County,California,10%,8%,n/a*,,n/a*,n/a*,n/a*,,33%,18%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,1%,n/a*,,34%,,88%,84%,96%,,"$63,361","$63,049","$65,811"
Los Angeles County,California,13%,13%,12%,,"$16,003","$21,909","$13,935",,14%,8%,16%,,"$9,828","$14,412","$9,107",,$170,$218,$151,,2%,1%,2%,,74%,,69%,52%,77%,,"$86,156","$114,136","$70,445"
Madera County,California,10%,9%,10%,,"$12,348","$15,693","$9,759",,15%,8%,18%,,n/a*,n/a*,n/a*,,$130,n/a*,$110,,2%,1%,2%,,65%,,85%,75%,92%,,"$65,695","$80,924","$52,474"
Marin County,California,10%,9%,n/a*,,"$19,396","$19,409",n/a*,,6%,5%,n/a*,,n/a*,n/a*,n/a*,,$217,$221,n/a*,,1%,0%,n/a*,,29%,,41%,34%,61%,,"$157,498","$170,005","$108,324"
Mariposa County,California,8%,8%,n/a**,,n/a*,n/a*,n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,18%,,78%,76%,87%,,"$65,619","$65,763","$64,501"
Mendocino County,California,7%,5%,n/a*,,"$11,324",n/a*,n/a*,,15%,13%,n/a*,,n/a*,n/a*,n/a*,,$140,n/a*,n/a*,,1%,1%,n/a*,,34%,,73%,70%,83%,,"$58,332","$65,733","$36,863"
Merced County,California,11%,7%,10%,,"$12,907",n/a*,"$13,658",,13%,0%,14%,,"$8,278",n/a*,n/a*,,$134,n/a*,$138,,1%,0%,1%,,71%,,86%,78%,90%,,"$59,213","$70,834","$51,290"
Modoc County,California,5%,5%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,22%,,82%,80%,91%,,"$48,845","$52,088","$31,814"
Mono County,California,8%,9%,n/a**,,n/a*,n/a*,n/a**,,6%,6%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,1%,n/a**,,34%,,68%,62%,85%,,"$70,947","$74,569","$51,668"
Monterey County,California,9%,9%,10%,,"$12,558","$16,059","$12,027",,13%,6%,15%,,"$6,862",n/a*,"$7,252",,$149,$202,$137,,1%,1%,1%,,69%,,77%,58%,88%,,"$86,090","$110,640","$65,618"
Napa County,California,9%,8%,10%,,"$16,689",n/a*,n/a*,,11%,11%,15%,,n/a*,n/a*,n/a*,,$175,n/a*,n/a*,,1%,1%,1%,,48%,,67%,58%,82%,,"$111,567","$126,371","$80,443"
Nevada County,California,10%,9%,n/a**,,"$15,420","$15,724",n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,$161,$162,n/a**,,1%,1%,n/a**,,14%,,66%,64%,78%,,"$71,886","$71,588","$74,274"
Orange County,California,11%,11%,11%,,"$16,697","$20,293","$13,887",,10%,7%,13%,,"$9,966","$13,947","$8,635",,$184,$215,$156,,1%,1%,1%,,59%,,61%,53%,69%,,"$106,144","$121,142","$89,071"
Placer County,California,13%,13%,n/a**,,"$15,640","$15,464",n/a**,,8%,7%,n/a**,,"$8,169","$8,515",n/a**,,$164,$164,n/a**,,1%,1%,n/a**,,26%,,63%,61%,71%,,"$97,594","$97,387","$98,463"
Plumas County,California,11%,11%,n/a*,,n/a*,n/a*,n/a*,,8%,8%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,16%,,78%,77%,83%,,"$66,613","$70,274","$42,048"
